WeekStart,WeekEnd,Year,WeekNum,Sales
2011-01-03,2011-01-09,2011,1,7438.14
2011-01-10,2011-01-16,2011,2,8103.41
2011-01-17,2011-01-23,2011,3,7352.32
2011-01-24,2011-01-30,2011,4,7560.66
2011-01-31,2011-02-06,2011,5,7384.88
2011-02-07,2011-02-13,2011,6,8386.63
2011-02-14,2011-02-20,2011,7,8342.77
2011-02-21,2011-02-27,2011,8,8507.43
2011-02-28,2011-03-06,2011,9,9531.62
2011-03-07,2011-03-13,2011,10,9636.14
2011-03-14,2011-03-20,2011,11,9544
2011-03-21,2011-03-27,2011,12,9338.73
2011-03-28,2011-04-03,2011,13,9363.86
2011-04-04,2011-04-10,2011,14,9143.68
2011-04-11,2011-04-17,2011,15,10231.31
2011-04-18,2011-04-24,2011,16,8629.94
2011-04-25,2011-05-01,2011,17,9096.89
2011-05-02,2011-05-08,2011,18,9259.61
2011-05-09,2011-05-15,2011,19,10011.41
2011-05-16,2011-05-22,2011,20,10109.01
2011-05-23,2011-05-29,2011,21,9763.76
2011-05-30,2011-06-05,2011,22,10785.22
2011-06-06,2011-06-12,2011,23,11301.8
2011-06-13,2011-06-19,2011,24,10361.62
2011-06-20,2011-06-26,2011,25,10412
2011-06-27,2011-07-03,2011,26,9491
2011-07-04,2011-07-10,2011,27,10260.46
2011-07-11,2011-07-17,2011,28,9655.96
2011-07-18,2011-07-24,2011,29,10322.96
2011-07-25,2011-07-31,2011,30,10442.22
2011-08-01,2011-08-07,2011,31,10447.2
2011-08-08,2011-08-14,2011,32,10688.4
2011-08-15,2011-08-21,2011,33,10148.75
2011-08-22,2011-08-28,2011,34,11597.54
2011-08-29,2011-09-04,2011,35,8989.14
2011-09-05,2011-09-11,2011,36,10631.84
2011-09-12,2011-09-18,2011,37,11826.76
2011-09-19,2011-09-25,2011,38,11824.84
2011-09-26,2011-10-02,2011,39,11714.36
2011-10-03,2011-10-09,2011,40,11794.45
2011-10-10,2011-10-16,2011,41,11938.64
2011-10-17,2011-10-23,2011,42,11693.75
2011-10-24,2011-10-30,2011,43,11637.35
2011-10-31,2011-11-06,2011,44,12889.5
2011-11-07,2011-11-13,2011,45,11538.09
2011-11-14,2011-11-20,2011,46,11871.81
2011-11-21,2011-11-27,2011,47,10407.76
2011-11-28,2011-12-04,2011,48,11887.58
2011-12-05,2011-12-11,2011,49,12478.87
2011-12-12,2011-12-18,2011,50,12080.99
2011-12-19,2011-12-25,2011,51,10107.25
2011-12-26,2012-01-01,2011,52,11726.64
2012-01-02,2012-01-08,2012,1,11121.96
2012-01-09,2012-01-15,2012,2,12030.19
2012-01-16,2012-01-22,2012,3,11442.52
2012-01-23,2012-01-29,2012,4,11688.26
2012-01-30,2012-02-05,2012,5,12251.43
2012-02-06,2012-02-12,2012,6,11591.48
2012-02-13,2012-02-19,2012,7,11225.9
2012-02-20,2012-02-26,2012,8,11316.41
2012-02-27,2012-03-04,2012,9,11622.99
2012-03-05,2012-03-11,2012,10,10705.66
2012-03-12,2012-03-18,2012,11,11495.4
2012-03-19,2012-03-25,2012,12,11562.47
2012-03-26,2012-04-01,2012,13,12509.66
2012-04-02,2012-04-08,2012,14,9841.24
2012-04-09,2012-04-15,2012,15,11094.75
2012-04-16,2012-04-22,2012,16,11355.62
2012-04-23,2012-04-29,2012,17,13253.9
2012-04-30,2012-05-06,2012,18,11737.58
2012-05-07,2012-05-13,2012,19,11018.61
2012-05-14,2012-05-20,2012,20,13432.01
2012-05-21,2012-05-27,2012,21,11903.57
2012-05-28,2012-06-03,2012,22,12169.28
2012-06-04,2012-06-10,2012,23,13421.2
2012-06-11,2012-06-17,2012,24,12620.8
2012-06-18,2012-06-24,2012,25,12469.34
2012-06-25,2012-07-01,2012,26,11110.65
2012-07-02,2012-07-08,2012,27,10105.02
2012-07-09,2012-07-15,2012,28,10701.61
2012-07-16,2012-07-22,2012,29,10651.52
2012-07-23,2012-07-29,2012,30,11217.9
2012-07-30,2012-08-05,2012,31,11317.43
2012-08-06,2012-08-12,2012,32,11158.41
2012-08-13,2012-08-19,2012,33,11153.63
2012-08-20,2012-08-26,2012,34,12099.59
2012-08-27,2012-09-02,2012,35,10759.92
2012-09-03,2012-09-09,2012,36,11132.99
2012-09-10,2012-09-16,2012,37,11578.4
2012-09-17,2012-09-23,2012,38,12225.16
2012-09-24,2012-09-30,2012,39,12392.18
2012-10-01,2012-10-07,2012,40,12945.86
2012-10-08,2012-10-14,2012,41,12950.65
2012-10-15,2012-10-21,2012,42,13896.35
2012-10-22,2012-10-28,2012,43,14216.99
2012-10-29,2012-11-04,2012,44,15950
2012-11-05,2012-11-11,2012,45,12712
2012-11-12,2012-11-18,2012,46,13936.66
2012-11-19,2012-11-25,2012,47,12552.84
2012-11-26,2012-12-02,2012,48,14336.3
2012-12-03,2012-12-09,2012,49,13313.35
2012-12-10,2012-12-16,2012,50,14588.41
2012-12-17,2012-12-23,2012,51,12e3
2012-12-24,2012-12-30,2012,52,10990.26
2012-12-31,2013-01-06,2013,1,14584.5
2013-01-07,2013-01-13,2013,2,14154.88
2013-01-14,2013-01-20,2013,3,14585.29
2013-01-21,2013-01-27,2013,4,12751.21
2013-01-28,2013-02-03,2013,5,14109.03
2013-02-04,2013-02-10,2013,6,12665.73
2013-02-11,2013-02-17,2013,7,14226.72
2013-02-18,2013-02-24,2013,8,12902.59
