Dates,Year,Sales
1/3-1/9,2011,7438.14
1/10-1/16,2011,8103.41
1/17-1/23,2011,7352.32
1/24-1/30,2011,7560.66
1/31-2/6,2011,7384.88
2/7-2/13,2011,8386.63
2/14-2/20,2011,8342.77
2/21-2/27,2011,8507.43
2/28-3/6,2011,9531.62
3/7-3/13,2011,9636.14
3/14-3/20,2011,9544
3/21-3/27,2011,9338.73
3/28-4/3,2011,9363.86
4/4-4/10,2011,9143.68
4/11-4/17,2011,10231.31
4/18-4/24,2011,8629.94
4/25-5/1,2011,9096.89
5/2-5/8,2011,9259.61
5/9-5/15,2011,10011.41
5/16-5/22,2011,10109.01
5/23-5/29,2011,9763.76
5/30-6/5,2011,10785.22
6/6-6/12,2011,11301.8
6/13-6/19,2011,10361.62
6/20-6/26,2011,10412
6/27-7/3,2011,9491
7/4-7/10,2011,10260.46
7/11-7/17,2011,9655.96
7/18-7/24,2011,10322.96
7/25-7/31,2011,10442.22
8/1-8/7,2011,10447.2
8/8-8/14,2011,10688.4
8/15-8/21,2011,10148.75
8/22-8/28,2011,11597.54
8/29-9/4,2011,8989.14
9/5-9/11,2011,10631.84
9/12-9/18,2011,11826.76
9/19-9/25,2011,11824.84
9/26-10/2,2011,11714.36
10/3-10/9,2011,11794.45
10/10-10/16,2011,11938.64
10/17-10/23,2011,11693.75
10/24-10/30,2011,11637.35
10/31-11/6,2011,12889.5
11/7-11/13,2011,11538.09
11/14-11/20,2011,11871.81
11/21-11/27,2011,10407.76
11/28-12/4,2011,11887.58
12/5-12/11,2011,12478.87
12/12-12/18,2011,12080.99
12/19-12/25,2011,10107.25
12/26-1/1,2011,11726.64
1/2-1/8,2012,11121.96
1/9-1/15,2012,12030.19
1/16-1/22,2012,11442.52
1/23-1/29,2012,11688.26
1/30-2/5,2012,12251.43
2/6-2/12,2012,11591.48
2/13-2/19,2012,11225.9
2/20-2/26,2012,11316.41
2/27-3/4,2012,11622.99
3/5-3/11,2012,10705.66
3/12-3/18,2012,11495.4
3/19-3/25,2012,11562.47
3/26-4/1,2012,12509.66
4/2-4/8,2012,9841.24
4/9-4/15,2012,11094.75
4/16-4/22,2012,11355.62
4/23-4/29,2012,13253.9
