ReportDate,ReportYear,ReportMonth,ReportDay,WeekNum,WeekNumISO,GrossSales,NetSales
9/8/2016,2016,9,5,37,36,482.29,451.72
9/9/2016,2016,9,6,37,36,731.95,685.01
9/10/2016,2016,9,7,37,36,736.45,689.08
9/11/2016,2016,9,1,37,36,781.58,731.94
9/12/2016,2016,9,2,37,37,569.79,533.14
9/13/2016,2016,9,3,38,37,1300.44,1216.88
9/14/2016,2016,9,4,38,37,1612.51,1508.92
9/15/2016,2016,9,5,38,37,1400.62,1310.43
9/16/2016,2016,9,6,38,37,2640.18,2471.23
9/17/2016,2016,9,7,38,37,2163.27,2024.88
9/18/2016,2016,9,1,38,37,2689.16,2517.46
9/19/2016,2016,9,2,38,38,1126.72,1054.59
9/20/2016,2016,9,3,39,38,1306.67,1223.38
9/21/2016,2016,9,4,39,38,1850.66,1732.46
9/22/2016,2016,9,5,39,38,1860.47,1740.98
9/23/2016,2016,9,6,39,38,3192.84,2987.59
9/24/2016,2016,9,7,39,38,2193.07,2053.04
9/25/2016,2016,9,1,39,38,2195.58,2056.25
9/26/2016,2016,9,2,39,39,1198.18,1121.51
9/27/2016,2016,9,3,40,39,1451.58,1359.2
9/28/2016,2016,9,4,40,39,1324.82,1240.1
9/29/2016,2016,9,5,40,39,1884.86,1763.79
9/30/2016,2016,9,6,40,39,3259.12,3051.46
10/1/2016,2016,10,7,40,39,2106.22,1971.37
10/2/2016,2016,10,1,40,39,2578.65,2414.43
10/3/2016,2016,10,2,40,40,1023.49,957.46
10/4/2016,2016,10,3,41,40,1179.79,1104.57
10/5/2016,2016,10,4,41,40,1654,1548.11
10/6/2016,2016,10,5,41,40,1604.6,1501.93
10/7/2016,2016,10,6,41,40,3370.28,3154.93
10/8/2016,2016,10,7,41,40,2030.19,1900.95
10/9/2016,2016,10,1,41,40,2859.1,2679.02
10/10/2016,2016,10,2,41,41,1398.33,1309.97
10/11/2016,2016,10,3,42,41,1237.01,1157.7
10/12/2016,2016,10,4,42,41,1437.56,1346.73
10/13/2016,2016,10,5,42,41,1310.65,1227.59
10/14/2016,2016,10,6,42,41,3303.25,3092.79
10/15/2016,2016,10,7,42,41,2249.99,2107.46
10/16/2016,2016,10,1,42,41,1979.74,1854.63
10/17/2016,2016,10,2,42,42,1123.98,1052.72
10/18/2016,2016,10,3,43,42,1361.18,1274.07
10/19/2016,2016,10,4,43,42,2135.52,1999.88
10/20/2016,2016,10,5,43,42,2352.92,2202.97
10/21/2016,2016,10,6,43,42,3056.9,2862.43
10/22/2016,2016,10,7,43,42,2272.92,2128.9
10/23/2016,2016,10,1,43,42,2600.37,2435.13
10/24/2016,2016,10,2,43,43,1018.03,953.22
10/25/2016,2016,10,3,44,43,1224.73,1146.93
10/26/2016,2016,10,4,44,43,1256.89,1176.97
10/27/2016,2016,10,5,44,43,1737.98,1627.68
10/28/2016,2016,10,6,44,43,3322.69,3110.69
10/29/2016,2016,10,7,44,43,2099.37,1966.35
10/30/2016,2016,10,1,44,43,1870.33,1752.2
10/31/2016,2016,10,2,44,44,2269.58,2125.51
11/1/2016,2016,11,3,45,44,1045.82,979.28
11/2/2016,2016,11,4,45,44,1803.56,1689.59
11/3/2016,2016,11,5,45,44,1181.4,1106.17
11/4/2016,2016,11,6,45,44,2468.17,2311.37
11/5/2016,2016,11,7,45,44,2146.17,2009.61
11/6/2016,2016,11,1,45,44,2104.92,1971.52
11/7/2016,2016,11,2,45,45,1682.54,1575.69
11/8/2016,2016,11,3,46,45,1783.15,1669.17
11/9/2016,2016,11,4,46,45,1291.35,1210.23
11/10/2016,2016,11,5,46,45,1624.84,1521.73
11/11/2016,2016,11,6,46,45,2572.57,2409.55
11/12/2016,2016,11,7,46,45,2528.77,2368.05
11/13/2016,2016,11,1,46,45,1576.28,1477.55
11/14/2016,2016,11,2,46,46,969.16,907.48
11/15/2016,2016,11,3,47,46,967.59,905.87
11/16/2016,2016,11,4,47,46,1294.64,1212.52
11/17/2016,2016,11,5,47,46,1500.03,1404.95
11/18/2016,2016,11,6,47,46,3435.33,3217.97
11/19/2016,2016,11,7,47,46,2405.18,2252.37
11/20/2016,2016,11,1,47,46,2029.58,1902.24
11/21/2016,2016,11,2,47,47,1005.68,942.25
11/22/2016,2016,11,3,48,47,1545.32,1447.18
11/23/2016,2016,11,4,48,47,2679.94,2508.95
11/24/2016,2016,11,5,48,47,0,0
11/25/2016,2016,11,6,48,47,2027.62,1900.02
11/26/2016,2016,11,7,48,47,1799.86,1685.42
