ReportDate,ReportYear,ReportMonth,ReportDay,WeekNum,YearWeekNum,ReportYearISO,WeekNumISO,YearWeekNumISO,GrossSales,NetSales
2016-09-08,2016,9,5,36,2016-36,2016,36,2016-36,482.29,451.72
2016-09-09,2016,9,6,37,2016-37,2016,36,2016-36,731.95,685.01
2016-09-10,2016,9,7,37,2016-37,2016,36,2016-36,736.45,689.08
2016-09-11,2016,9,1,37,2016-37,2016,36,2016-36,781.58,731.94
2016-09-12,2016,9,2,37,2016-37,2016,37,2016-37,569.79,533.14
2016-09-13,2016,9,3,37,2016-37,2016,37,2016-37,1300.44,1216.88
2016-09-14,2016,9,4,37,2016-37,2016,37,2016-37,1612.51,1508.92
2016-09-15,2016,9,5,37,2016-37,2016,37,2016-37,1400.62,1310.43
2016-09-16,2016,9,6,38,2016-38,2016,37,2016-37,2640.18,2471.23
2016-09-17,2016,9,7,38,2016-38,2016,37,2016-37,2163.27,2024.88
2016-09-18,2016,9,1,38,2016-38,2016,37,2016-37,2689.16,2517.46
2016-09-19,2016,9,2,38,2016-38,2016,38,2016-38,1126.72,1054.59
2016-09-20,2016,9,3,38,2016-38,2016,38,2016-38,1306.67,1223.38
2016-09-21,2016,9,4,38,2016-38,2016,38,2016-38,1850.66,1732.46
2016-09-22,2016,9,5,38,2016-38,2016,38,2016-38,1860.47,1740.98
2016-09-23,2016,9,6,39,2016-39,2016,38,2016-38,3192.84,2987.59
2016-09-24,2016,9,7,39,2016-39,2016,38,2016-38,2193.07,2053.04
2016-09-25,2016,9,1,39,2016-39,2016,38,2016-38,2195.58,2056.25
2016-09-26,2016,9,2,39,2016-39,2016,39,2016-39,1198.18,1121.51
2016-09-27,2016,9,3,39,2016-39,2016,39,2016-39,1451.58,1359.2
2016-09-28,2016,9,4,39,2016-39,2016,39,2016-39,1324.82,1240.1
2016-09-29,2016,9,5,39,2016-39,2016,39,2016-39,1884.86,1763.79
2016-09-30,2016,9,6,40,2016-40,2016,39,2016-39,3259.12,3051.46
2016-10-01,2016,10,7,40,2016-40,2016,39,2016-39,2106.22,1971.37
2016-10-02,2016,10,1,40,2016-40,2016,39,2016-39,2578.65,2414.43
2016-10-03,2016,10,2,40,2016-40,2016,40,2016-40,1023.49,957.46
2016-10-04,2016,10,3,40,2016-40,2016,40,2016-40,1179.79,1104.57
2016-10-05,2016,10,4,40,2016-40,2016,40,2016-40,1654,1548.11
2016-10-06,2016,10,5,40,2016-40,2016,40,2016-40,1604.6,1501.93
2016-10-07,2016,10,6,41,2016-41,2016,40,2016-40,3370.28,3154.93
2016-10-08,2016,10,7,41,2016-41,2016,40,2016-40,2030.19,1900.95
2016-10-09,2016,10,1,41,2016-41,2016,40,2016-40,2859.1,2679.02
2016-10-10,2016,10,2,41,2016-41,2016,41,2016-41,1398.33,1309.97
2016-10-11,2016,10,3,41,2016-41,2016,41,2016-41,1237.01,1157.7
2016-10-12,2016,10,4,41,2016-41,2016,41,2016-41,1437.56,1346.73
2016-10-13,2016,10,5,41,2016-41,2016,41,2016-41,1310.65,1227.59
2016-10-14,2016,10,6,42,2016-42,2016,41,2016-41,3303.25,3092.79
2016-10-15,2016,10,7,42,2016-42,2016,41,2016-41,2249.99,2107.46
2016-10-16,2016,10,1,42,2016-42,2016,41,2016-41,1979.74,1854.63
2016-10-17,2016,10,2,42,2016-42,2016,42,2016-42,1123.98,1052.72
2016-10-18,2016,10,3,42,2016-42,2016,42,2016-42,1361.18,1274.07
2016-10-19,2016,10,4,42,2016-42,2016,42,2016-42,2135.52,1999.88
2016-10-20,2016,10,5,42,2016-42,2016,42,2016-42,2352.92,2202.97
2016-10-21,2016,10,6,43,2016-43,2016,42,2016-42,3056.9,2862.43
2016-10-22,2016,10,7,43,2016-43,2016,42,2016-42,2272.92,2128.9
2016-10-23,2016,10,1,43,2016-43,2016,42,2016-42,2600.37,2435.13
2016-10-24,2016,10,2,43,2016-43,2016,43,2016-43,1018.03,953.22
2016-10-25,2016,10,3,43,2016-43,2016,43,2016-43,1224.73,1146.93
2016-10-26,2016,10,4,43,2016-43,2016,43,2016-43,1256.89,1176.97
2016-10-27,2016,10,5,43,2016-43,2016,43,2016-43,1737.98,1627.68
2016-10-28,2016,10,6,44,2016-44,2016,43,2016-43,3322.69,3110.69
2016-10-29,2016,10,7,44,2016-44,2016,43,2016-43,2099.37,1966.35
2016-10-30,2016,10,1,44,2016-44,2016,43,2016-43,1870.33,1752.2
2016-10-31,2016,10,2,44,2016-44,2016,44,2016-44,2269.58,2125.51
2016-11-01,2016,11,3,44,2016-44,2016,44,2016-44,1045.82,979.28
2016-11-02,2016,11,4,44,2016-44,2016,44,2016-44,1803.56,1689.59
2016-11-03,2016,11,5,44,2016-44,2016,44,2016-44,1181.4,1106.17
2016-11-04,2016,11,6,45,2016-45,2016,44,2016-44,2468.17,2311.37
2016-11-05,2016,11,7,45,2016-45,2016,44,2016-44,2146.17,2009.61
2016-11-06,2016,11,1,45,2016-45,2016,44,2016-44,2104.92,1971.52
2016-11-07,2016,11,2,45,2016-45,2016,45,2016-45,1682.54,1575.69
2016-11-08,2016,11,3,45,2016-45,2016,45,2016-45,1783.15,1669.17
2016-11-09,2016,11,4,45,2016-45,2016,45,2016-45,1291.35,1210.23
2016-11-10,2016,11,5,45,2016-45,2016,45,2016-45,1624.84,1521.73
2016-11-11,2016,11,6,46,2016-46,2016,45,2016-45,2572.57,2409.55
2016-11-12,2016,11,7,46,2016-46,2016,45,2016-45,2528.77,2368.05
2016-11-13,2016,11,1,46,2016-46,2016,45,2016-45,1576.28,1477.55
